portfolio_id,symbol,quantity,average_cost,basis,current_value,unrealized_gain_loss
PORT001,AAPL,50,150.25,7512.50,9131.50,1619.00
PORT001,MSFT,25,380.42,9510.50,10312.50,802.00
PORT001,GOOGL,15,145.68,2185.20,2301.30,116.10
PORT001,TSLA,10,230.15,2301.50,2458.00,156.50
PORT001,CASH,0,1.00,25000.00,25000.00,0.00
PORT002,AAPL,100,142.30,14230.00,18263.00,4033.00
PORT002,MSFT,50,350.25,17512.50,20625.00,3112.50
PORT002,JPM,75,185.42,13906.50,14881.50,975.00
PORT002,JNJ,60,148.90,8934.00,9100.80,166.80
PORT002,V,40,260.75,10430.00,11014.00,584.00
PORT002,CASH,0,1.00,50000.00,50000.00,0.00
PORT003,NVDA,20,950.42,19008.40,23777.00,4768.60
PORT003,AMZN,50,165.28,8264.00,8912.50,648.50
PORT003,META,30,450.15,13504.50,14572.50,1068.00
PORT003,UNH,25,500.68,12517.00,13045.00,528.00
PORT003,CASH,0,1.00,15000.00,15000.00,0.00
